dataset,model,seed,label,pred,text,word_count,char_count,failure_mode,notes
agnews_main,BERT-base,42,3,0,Bush Scraps Most U.S. Sanctions on Libya (Reuters) Reuters - President Bush on Monday formally ended the U.S. trade embargo on Libya to reward it for giving up weapons of mass destruction but left in place U.S. terrorism-related sanctions.,39,239,ambiguity,
agnews_main,BERT-base,42,3,2,"Nextel, Sprint Talk Merger Nextel Communications Inc. and Sprint Corp. are negotiating a possible merger, according to a source familiar with the discussions.",23,158,ambiguity,
agnews_main,BERT-base,42,0,3,"Microsoft open new software development unit in India (AFP) AFP - Microsoft said it will join with India's second-largest software firm, Infosys Technologies, to provide software and consulting to manufacturing, banking and automobile companies.",34,245,ambiguity,
agnews_main,BERT-base,42,0,2,Malaysia expects to resume poultry exports to Singapore soon By Channel NewsAsia #39;s Malaysia Correspondent Melissa Goh. KUALA LUMPUR : Malaysia expects to resume export of poultry and eggs from two states to Singapore by the end of this month but only after meeting conditions set by the island.,49,298,ambiguity,
agnews_main,BERT-base,42,0,3,"Stability Control Systems Can Save Lives (AP) AP - Stability control systems could save up to 7,000 lives each year if they were standard equipment on all vehicles, according to a study by the insurance industry.",36,212,ambiguity,
agnews_main,BERT-base,42,3,2,"Gates: US Need Not Fear Overseas Tech The United States has nothing to fear from rapidly growing technology markets in China and India, Bill Gates, chairman and chief software architect of Microsoft Corp.",33,204,ambiguity,
agnews_main,BERT-base,42,3,1,How to take the perfect penalty A sports psychologist says how footballers should prepare themselves for the high-pressure penalties.,19,133,too_short,
agnews_main,BERT-base,42,2,3,Web-based kidney match raises ethics questions A Colorado man who placed a quot;transplant wanted quot; ad on a Massachusetts-based Internet site is expected today to receive a kidney donated by a total stranger who simply wanted to do quot;something big. quot; The transaction marks the first time an organ transplant has been brokered by a commercial web company.,58,365,ambiguity,
agnews_main,BERT-base,42,2,3,"Google #39;s New PC Search Tool Poses Risks NEW YORK Oct. 18, 2004 - People who use public or workplace computers for e-mail, instant messaging and Web searching have a new privacy risk to worry about: Google #39;s free new tool that indexes a PC #39;s contents for quickly locating data.",51,288,rare_vocabulary,
agnews_main,BERT-base,42,0,3,Greenpeace #39;shocked #39; over death of anti-nuclear protestor PARIS - The international environment watchdog group Greenpeace said Monday it was quot;shocked and very saddened quot; by the death of a French protestor who was struck and killed Sunday by a train transporting nuclear waste to Germany.,46,302,ambiguity,
imdb_main,DistilBERT,42,1,0,"Jake Speed is a film that lacks one thing  a charismatic lead. Unfortunately that's something that really taints the entire movie and it's a shame because at heart it is an enjoyable action movie with a witty enough script and an interesting, if derivative, premise. Although it's genesis probably can be traced back to the success of the Indiana Jones trilogy  the film actually plays a little more like 'Romancing the Stone' albeit in reverse. It's not an author of romantic adventure fiction being led on an adventure by a character very much like one of her creations it is an adventure fiction character (who happens to chronicle his own adventures) leading an ordinary woman on one of his adventures. When a young woman goes missing",128,740,long_text_truncation,
imdb_main,DistilBERT,456,0,1,"I've never been impressed by JD anyway, and Final Justice (which I hadn't seen prior to its MST3k airing) proves to be no exception. It's not that the character is any less likeable than Mitchell: it's just that there's less that Geronimo (""Call me 'Heronimo') to dislike. In fact, one suspects that Mitchell and Final Justice were all schemes of a revenge-seeking agent of Joe Don's trying to get the ""star"" killed by inducing a heart attack. Joe Don must have found a new agent, since he's now graduated to ""comic relief"" in James Bond movies. The problem is, it's hard to tell the difference between his comedy characters there, and his ""serious"" characters in his action-movies like this one. As for the plot...umm, what plot? They repeat",128,742,sarcasm_or_irony,
imdb_main,DistilBERT,42,0,1,"I am really shocked that a great director like Chuck Jones started out making some of the most incredibly boring cartoons I've ever seen. I did not laugh once throughout this short, and it's a Bugs Bunny cartoon, for Christ's sake! Bugs Bunny cartoons are always funny, not boring! Alas, this short turns out to be Good Night Elmer (another incredibly boring Jones short) with the addition of Bugs Bunny. The first warning sign of a dull cartoon is always no gag payoff. Good Night Elmer was boring because it dragged on the same two gags forever with predictable payoff. This cartoon, on the other hand, is afflicted with the second warning sign of a dull cartoon: there's too much dialogue. The cartoon at least has more than",128,727,sarcasm_or_irony,
imdb_main,DistilBERT,456,1,0,"As long as you go into this movie knowing that it's terrible: bad acting, bad ""effects,"" bad story, bad... everything, then you'll love it. This is one of my favorite ""goof on"" movies; watch it as a comedy and have a dozen good laughs!",44,235,sarcasm_or_irony,
imdb_main,DistilBERT,456,0,1,"While studying the differences between religion and cult in college, Mindy (Rachel Miner), who is the best student in the class, convinces her schoolmates Cassandra (Taryn Manning), Bailey (Glenn Dunk), Alex (Joel Michaely) and Morgan (Victoria Venegas) to research the massacre of worshipers of Kwan Yin by their leader Owen Quinlin (Robert Berson) twenty years ago in California. Quinlin had found an ancient amulet in Southern China that would give an enormous power to him after the sacrifice of human souls, but one woman resists and he is destroyed. However, after the death of Morgan, who apparently committed suicide, the students discover that Quinlin has returned and is chasing their souls with his amulet. The storyline of 'Cult"" is not totally bad. Unfortunately, the screenplay, the direction, the",128,811,long_text_truncation,
imdb_main,DistilBERT,42,1,0,"As a rule, there are few things more dispiriting than Hollywood's attempts to be courageous. Mixing caution with heavy-handedness, ""message movies"" pat themselves loudly on the back for daring to tackle major problems. CROSSFIRE is not entirely free from this taint; it includes a sermon on the nature of senseless hatred that is embarrassingly obvious, assuming a level of naivity in its audience that's depressing to contemplate. As late as 1947, it was a big deal for a movie to announce that anti-Semitism existed, and that it was bad. (It was unthinkable, of course, for Hollywood to address the real subject of the book on which the movie was basedits victim was a homosexual.) Nevertheless, thanks to good writing and excellent acting, CROSSFIRE remains a persuasive examination of",128,789,long_text_truncation,
imdb_main,DistilBERT,456,1,0,"This movie has one of the cheesiest plots I have seen. For me, that's what makes it so awesome! Fred Gwynne and Al Lewis are very good at what they achieved in the original Munsters series. While there was less slapstick, they still worked wonderfully together ""comedically."" I wish Yvonne De Carlo, as Lily, would have had more plot involvement. She showed that she could do comedy in the original series, but it was mostly wasted in this movie. This movie also stars the great Sid Caesar, but sadly he doesn't have any interaction with Gwynne and Lewis. I think some better work could have come out of that.",109,609,sarcasm_or_irony,
imdb_main,DistilBERT,123,0,1,"Ummm, please forgive me, but weren't more than half the characters missing? In the original novel, Valjean is a man imprisoned for 19 years for stealing a loaf of bread and then attempting several times to escape. He breaks parole and is pursued relentlessly by the police inspector Javert. Along the way there are MANY characters that weren't in this version. Some worth mentioning would be Fantine, Cosette, M & Mme. Thenardier, Eponine, Marius, Gavroche, and Enjolras. The only character with the same name is Javert. I was confused and frustrated throughout the whole movie, trying to see how it was in any way connected to Victor Hugo's epic novel.",110,653,rare_vocabulary,
imdb_main,DistilBERT,42,0,1,"This film, though ostensibly a comedy, is deadly serious. Its subject is Imperialism (with a capital I): how Britain, foolishly, humiliatingly, tries to convince itself that it's still a great power after World War II. At home, the Empire is run by amiable dolts, benevolent Tories who are so in-bred that they can't distinguish close relatives; the Offices of Government consist of long forgotten archives (a dig at Orwellian paranoia?), inhabited by indolent rats, and ante-rooms wherein lounge bored synacures, reading popular novels. Abroad, Britain clings to the old pomp; but pomp out of context looks threadbare and silly, especially when its embodied in bumbling twits. Carlton-Browne is an unsentimental picture of decline, with none of the lachrymose rot that marred the supposedly anti-imperialist Jewel in the Crown.",128,828,sarcasm_or_irony,
imdb_main,DistilBERT,42,0,1,"I got to see an early preview of this movie and I hope they have time to edit it in what ever way they can to improve on it before it comes out Aug 3rd. It stars Andy Samberg from Saturday Night Live as 'Hot' Rod Kimble. He's plays a teenager in a small town who wants to be a stunt man like his late father. When we meet him, he's jumping a mail truck on his mo-ped, yes, a mo-ped, and almost makes it. This would be worthy of a 'Jackass' movie if he wasn't honestly trying to do this. Isla Fisher plays the slightly older and much more mature girl-next-door, Denise. She seems to like Rod enough to join his 'crew'. Jorma Taccone (also SNL) plays",128,648,long_text_truncation,
imdb_main,BERT-base,42,1,0,"Style over substance. But what a style it is. ""The Cell"" is the internal version of most serial killer movies. Unfortunately, the story hardly supports the visuals. Psychotherapist Catherine Deane (J-Lo) goes into her patients' dreams via artificial means to discover and help them over come their phobias and obsessions. A new patient whose fallen into a coma, is brought to her attention by the FBI. He's a serial killer who drowns his female victims then poses their bodies in grotesque scenarios like mannequins. Deane must enter the killer's mind and navigate through his sick fantasies in order to find and save his latest victim. Director Tarsem Singh has incredible visions and set pieces for this production. Each dream sequence is like a nightmare-ish painting in motion, from",128,786,sarcasm_or_irony,
imdb_main,BERT-base,123,1,0,"I think the deal with this movie is that it has about 2 minutes of really, really funny moments and it makes a very good trailer and a lot of people came in with expectations from the trailer and this time the movie doesn't live up to the trailer. It's a little more sluggish and drags a little slowly for such an exciting premise, and i think i'm seeing from the comments people having a love/hate relationship with this movie. However, if you look at this movie for what it is and not what it could have been considering the talent of the cast, i think it's still pretty good. Julia Stiles is clearly the star, she's so giddy and carefree that set among the conformity of everyone",128,682,long_text_truncation,
imdb_main,BERT-base,42,0,1,"A tough sell: British playwright Ronald Harwood adapts his autobiographical stage drama into loud, bellowing film about WWII Shakespearean theatrical troupe saddled with an aged, blustery, brilliant-but-unreliable star at the end of his tether. The actor's effete assistant works diligently to get his master coiffed and costumed for a production of ""King Lear"" (during an Air Raid!), yet both men are losing their grip on their unraveling situation. Based on the waning years of actor Donald Wolfit, whose dresser was Ronald Harwood, this acclaimed production would seem to be a welcome haven for scenery-chewing thespians. Unfortunately, Albert Finney (at this point in his career, not at all elderly) seems too robust and quick-thinking to play the actor; Finney (and Oscar-nominated director Peter Yates) cannot modulate Sir's moods and",128,840,rare_vocabulary,
imdb_main,BERT-base,42,0,1,"I just watched it. A couple of laughs, but nothing to write home about. Jason Lee looked like he was having fun. The (long) DVD gag reel consists almost solely of him having fits of uncontrollable laughter. Selma Blair seemed to be punching a time clock, but then again, her character was supposed to be a stick in the mud, so ""well done"" I guess? Jim Brolin was surprisingly funny. (Being married to Babs can't be a picnic.) The soundtrack was hip, and eclectic. Larry Miller, who played Julia Stiles father (hilariously), in 10 Things I Hate About You is funny here as well. He's great, but the best aspect of this movie was the casting of Julia Stiles. I could spend two hours watching her fold laundry,",128,706,sarcasm_or_irony,
imdb_main,BERT-base,42,0,1,"Leon Errol handles his double role of Uncle Matt Lindsay and Lord Basil Epping superbly, but I have trouble liking the ""Mexican Spitfire"" Series because they all are contrived to produce mistaken identities, and these are telegraphed way in advance. Errol is funny as the stuffy Lord Epping, but I would have preferred a lot more wit and much less repetition.",61,359,ambiguity,
imdb_main,BERT-base,123,0,1,The plane is a 747 Jumbo. The cockpit is located on the upper deck on a 747. In the movie the pilots do not climb the stairs in the 1st Class cabin to reach the cockpit. They walk to the front of the 1st Class cabin and through doors into the cockpit. What a gaff !!! The front of the first class cabin has a cloakroom for jackets and a TV screen. Beyond that is the radar dome. Before takeoff a 747 is shown to commence the taxi to the runway. On take-off the plane is shown to have only two engines. Areal 747 has four engines. Who was in charge of continuity on this movie ? During the early part of the flight the front of the,128,630,rare_vocabulary,
imdb_main,BERT-base,42,0,1,"Actually, this is a lie, Shrek 3-D was actually the first 3d animated movie. I bought it on DVD about 3 years ago. Didn't Bug's Life also do that? I think it was at Disneyworld in that tree, so I'm saying before they go and use that as there logo. Also, Shrek 3d was a motion simulator at Universal Studios. They should still consider it as a movie, because it appeared in a ""theater"" and you could buy it for DVD. The movie was cute, at least the little flyes were. I liked IQ. I agree with animaster, they did a god job out of making a movie out of something that is just a out-and-back adventure. I recommend it to families and kids.",124,636,rare_vocabulary,
imdb_main,BERT-base,42,0,1,"Perry Mason: The Case of the Glass Coffin finds Raymond Burr defending David Copperfield/Rick Blaine like magician Peter Scolari from a murder charge involving one of his assistants. A trick involving a suspended glass coffin in midair goes awry and the body of Nancy Grahn comes a tumbling out. Nancy was one of six female assistants who work with the act and we learn two things about her. First in a moment of drunken weakness, Scolari got seduced by her and she claims she was impregnated. Secondly she is living under an assumed name and had a secret from her past. Billy Moses who probably never thought he'd be doing such rough stuff back in law school gets to tangle with a couple of good old boys when",128,710,rare_vocabulary,
imdb_main,BERT-base,123,1,0,"I read a viciously hidden remarks on a previous comments stating that this film showed a bunch of gay guys romping around their gayness. This couldn't be more misleading. ""Eighteen"" is not a gay film. It has only three gay characters in it and one of them is the victim of prejudice of people like the one who wrote the comments, despite his confession of fairness. Pip's grandfather was not gay. The tender scene of the soldier and his sergeant is male bonding at the crucial moment of death. But some people gets appalled by a kiss and welcome scene of guts flying out of a man killed by a bomb. The focus of the film is the straight relationship of Pip and that sweet girl and their",128,685,long_text_truncation,
imdb_main,BERT-base,42,0,1,"This Is Pretty Funny. ""Saturday The 12th"", a?... Great Work... I Laughed Every Minute of the movie... This Is Like ""Scary Movie"" for the 1980's. great STUDENT BODIES-styled gags... Too Bad This Isn't On Video... But You Can Still Watch It on FLIX...",43,249,sarcasm_or_irony,
